0.100000 ,  -5.801647
  0.292000 ,  -7.343883
  0.510000 , -10.172332
  0.796000 , -11.089537
  1.150000 , -10.624492
  1.570000 ,  -9.644511
  2.070000 ,  -8.297918
  2.670000 ,  -6.754081
  3.360000 ,  -5.444449
  4.190000 ,  -4.543326
  5.200000 ,  -3.927298
  6.440000 ,  -3.437997
  7.980000 ,  -3.020697
  9.890000 ,  -2.623912
 12.260000 ,  -2.279039
 15.180000 ,  -1.989497
 18.809999 ,  -1.704996
 23.309999 ,  -1.408935
 28.879999 ,  -1.131268
 35.779999 ,  -0.861089
 44.330002 ,  -0.589696
 54.619999 ,  -0.347103
 66.620003 ,  -0.142994
 80.397003 ,   0.016136
 95.980003 ,  -0.014820
113.419998 ,  -0.121745
132.759995 ,  -0.253990
153.990005 ,  -0.437234
177.100006 ,  -0.649847
202.100006 ,  -0.904427
228.800003 ,  -1.187643
257.339996 ,  -1.382759
287.600006 ,  -1.517482
319.600006 ,  -1.623314
353.200012 ,  -1.652973
388.200012 ,  -1.720337
424.500000 ,  -1.735031
461.799988 ,  -1.767342
499.899994 ,  -1.801268
538.500000 ,  -1.795086
577.299988 ,  -1.772593
615.900024 ,  -1.735779
654.099976 ,  -1.754713
691.599976 ,  -1.777086
728.000000 ,  -1.793944
763.000000 ,  -1.826876
796.400024 ,  -1.892263
827.900024 ,  -1.925087
857.099976 ,  -1.923421
884.099976 ,  -1.888346
908.400024 ,  -1.852943
930.099976 ,  -1.856804
949.099976 ,  -1.831356
965.299988 ,  -1.823498
978.799988 ,  -1.877244
989.700012 ,  -1.928714
998.000000 ,  -1.885234
1004.000000 ,  -1.777349
1009.000000 ,  -1.572434
1012.000000 ,  -1.390846

